17_OD_mgl_02,18_PH,50_Condutivida_de_Eletrica_us_cm_a_20c,13_Nitratos_mgl_n),46_Coliformes_Fecais_nmp_100ml,47_Coliformes_Totais_nmp_100ml,7_DBO_mgl_02)
,,19.0,,,,
7.5,,34.0,,,,
8.2,7.8,28.0,,,,
7.6,,24.0,,,,
7.3,8.0,26.0,,,,
7.2,6.9,19.0,,,,
8.0,6.9,24.0,,,,
7.2,7.2,19.0,,,,
7.6,6.59,22.0,,,,
6.8,6.38,25.4,,,,
5.4,6.54,24.0,,,,
,7.35,23.0,,,,
,6.45,35.0,,,,
,6.31,21.0,,,,
6.01,7.14,19.0,,,,
,6.35,20.0,,,,
,6.34,27.25,,,,
6.0,6.8,18.66,,,,
6.58,6.79,22.0,,,,
6.08,6.55,38.0,,,,
7.62,6.71,20.88,,,,
7.07,6.42,21.0,,,,
6.81,6.89,26.0,,,,
3.12,6.52,15.0,,,,
6.79,6.57,21.0,,,,
5.28,7.03,25.0,,,,
,7.5,22.8,,,,
3.58,6.82,24.0,,,,
4.48,6.46,29.0,,,,
5.28,6.46,28.0,,,,
5.64,6.9,24.0,,,,
4.48,6.46,38.0,,,,
5.28,6.41,13.0,,,,
,7.2,22.0,,,,
5.86,7.39,29.0,,,,
7.27,5.82,15.0,,,,
7.96,7.0,26.3,,,,
8.13,6.77,30.1,,,,
6.57,6.61,19.9,,,,
7.37,7.15,25.2,,,,
8.04,7.09,27.7,,,,
7.81,6.68,13.2,,,,
7.44,6.56,16.63,,,,
7.76,6.72,17.5,,,,
8.65,5.85,26.1,,,,
6.54,6.95,28.8,,,,
7.47,6.46,19.3,,,,
7.41,6.89,,,,,
7.49,6.5,24.7,,,,
7.47,7.95,22.3,,,,
8.86,7.41,21.8,,,,
31.1,7.4,,,,,
8.15,6.91,22.3,,,,
8.15,6.91,22.3,,,,
8.39,7.09,,,,,
7.6,7.1,30.6,,,,
5.7,7.1,135.3,0.28,3000.0,8000.0,2.0
6.1,6.6,137.2,0.52,2200.0,13000.0,2.0
7.2,7.1,121.8,0.83,500.0,11000.0,2.0
1.4,6.0,109.9,0.01,800.0,24000.0,4.0
5.7,6.73,135.3,0.28,3000.0,8000.0,2.0
7.2,7.66,121.8,0.83,500.0,11000.0,2.0
6.1,,137.2,0.52,2200.0,13000.0,2.0
1.4,,109.9,0.01,800.0,24000.0,4.0
6.0,7.18,193.3,1.37,800.0,3000.0,2.0
5.3,7.6,209.2,0.41,1300.0,2400.0,3.0
3.3,6.41,168.6,0.09,280.0,3000.0,3.0
5.8,6.95,191.7,0.13,1300.0,5000.0,4.0
3.3,7.06,168.6,0.09,280.0,3000.0,3.0
5.8,7.6,191.7,0.13,1300.0,5000.0,4.0
5.3,7.77,209.2,0.41,1300.0,2400.0,3.0
6.0,7.58,193.3,1.37,800.0,3000.0,2.0
3.3,6.41,,0.09,280.0,,3.0
5.8,6.95,,0.13,1300.0,,4.0
6.0,7.18,,1.37,800.0,,2.0
5.3,7.6,,0.41,1300.0,,3.0
5.5,6.71,192.5,0.66,80.0,300.0,2.0
2.1,6.54,180.4,0.02,300.0,1700.0,4.0
6.2,6.97,135.6,0.61,5000.0,17000.0,2.0
7.0,7.88,368.0,0.53,500.0,500.0,2.0
5.5,7.52,192.5,0.66,80.0,300.0,2.0
2.1,6.96,180.4,0.02,300.0,1700.0,4.0
6.2,7.66,135.6,0.61,5000.0,17000.0,2.0
7.0,8.03,368.0,0.53,500.0,500.0,2.0
2.1,6.54,,0.02,300.0,,4.0
6.2,6.97,,0.61,5000.0,,2.0
7.0,7.88,,0.53,500.0,,2.0
5.5,6.71,,0.66,80.0,,2.0
1.7,6.4,154.0,0.1,3000.0,14000.0,7.0
5.7,7.3,151.0,0.9,3000.0,3000.0,2.0
